"FoodID","taxonomy","Main.food.description","Food_Description","check"
13210250,"L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_Bread_and_rice_pudding;L5_;Pudding_chocolate_low_calorie_containing_artificial_sweetener_NS_as_to_from_dry_mix_or_ready_to_eat","Pudding_chocolate_low_calorie_containing_artificial_sweetener_NS_as_to_from_dry_mix_or_ready_to_eat","Pudding_chocolate_ready_to_eat_low_calorie_containing_artificial_sweetener_NS_as_to_from_dry_mix_or_canned","no"
13220230,"L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_Pudding_ready_to_eat;L5_;Pudding_ready_to_eat_chocolate_reduced_fat","Pudding_ready_to_eat_chocolate_reduced_fat","Pudding_canned_chocolate_reduced_fat","no"
13220240,"L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_Pudding_ready_to_eat;L5_;Pudding_ready_to_eat_flavors_other_than_chocolate_reduced_fat","Pudding_ready_to_eat_flavors_other_than_chocolate_reduced_fat","Pudding_canned_flavors_other_than_chocolate_reduced_fat","no"
24107050,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_NS_as_to_part;L5_;Chicken_NS_as_to_part_coated_baked_or_fried_prepared_skinless_coating_eaten","Chicken_NS_as_to_part_coated_baked_or_fried_prepared_skinless_coating_eaten","Chicken_NS_as_to_part_coated_baked_or_fried_prepared_skinless_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
24134220,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_leg_drumstick_and_thigh;L5_;Chicken_leg_drumstick_and_thigh_fried_no_coating_skin_not_eaten","Chicken_leg_drumstick_and_thigh_fried_no_coating_skin_not_eaten","Chicken_leg_drumstick_and_thigh_fried_no_coating_skin_not_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
26117120,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish;L4_Finfish_NS;L5_Haddock;Haddock_baked_or_broiled_fat_added_in_cooking","Haddock_baked_or_broiled_fat_added_in_cooking","Haddock_baked_or_broiled_WO_FAT","no"
28310230,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;L3_Soups_broths_extracts_from_meat_poultry_fish_base;L4_Beef_soups;L5_;Meatball_soup_Mexican_style_home_recipe_Sopa_de_Albondigas_","Meatball_soup_Mexican_style_home_recipe_Sopa_de_Albondigas","Meatball_soup_Mexican_style_Sopa_de_Albondigas","no"
28345160,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;L3_Soups_broths_extracts_from_meat_poultry_fish_base;L4_Poultry_soups;L5_Poultry_cream_soups;Chicken_or_turkey_mushroom_soup_cream_of_prepared_with_milk","Chicken_or_turkey_mushroom_soup_cream_of_prepared_with_milk","Chicken_and_mushroom_soup_cream_of_prepared_with_milk","no"
51300210,"L1_Grain_Product;L2_Yeast;L3_Wheat_cracked_wheat_breads_rolls;L4_Wheat_cracked_wheat_breads_rolls;L5_Whole_grain_wheat_or_whole_grain_white;Bread_whole_wheat_with_raisins","Bread_whole_wheat_with_raisins","Bread_whole_wheat_NS_as_to_100_with_raisins","no"
53114000,"L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cakes;L4_Cakes;L5_Cake_lemon;Cake_or_cupcake_lemon_without_icing_or_filling","Cake_or_cupcake_lemon_without_icing_or_filling","Cake_lemon_without_icing","no"
53115450,"L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cakes;L4_Cakes;L5_Cake_marble_oatmeal_peanutbutter;Cake_or_cupcake_peanut_butter","Cake_or_cupcake_peanut_butter","Cake_peanut_butter_with_icing","no"
53200100,"L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;L5_Cookie_batter;Cookie_batter_or_dough_raw","Cookie_batter_or_dough_raw","Cookie_batter_or_dough_raw_not_chocolate","no"
53235000,"L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;L5_Cookie_peanut_butter_sandwich;Cookie_peanut_butter_sandwich","Cookie_peanut_butter_sandwich","Cookie_peanut","no"
