"FoodID","taxonomy","Main.food.description","Food_Description","check"
11511200,"L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat_","Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat","Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat_","no"
13210110,"L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_Bread_and_rice_pudding;L5_;Pudding_bread","Pudding_bread","Pudding_bread_W_WHOLE_MILK","no"
13220120,"L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_Pudding_ready_to_eat;L5_;Pudding_chocolate_prepared_from_dry_mix_milk_added","Pudding_chocolate_prepared_from_dry_mix_milk_added","Pudding_chocolate_prepared_from_dry_mix_milk_added_W_WHOLE_MILK","no"
24107010,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_NS_as_to_part;L5_;Chicken_NS_as_to_part_coated_baked_or_fried_prepared_with_skin_skincoating_eaten","Chicken_NS_as_to_part_coated_baked_or_fried_prepared_with_skin_skincoating_eaten","Chicken_NS_as_to_part_coated_baked_or_fried_prepared_with_skin_skincoating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
24157250,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_Chicken_thigh;L5_;Chicken_thigh_coated_baked_or_fried_prepared_skinless_coating_eaten","Chicken_thigh_coated_baked_or_fried_prepared_skinless_coating_eaten","Chicken_thigh_coated_baked_or_fried_prepared_skinless_coating_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
27242000,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item;L4_Poultry_with_starch_item;L5_;Chicken_or_turkey_and_noodles_no_sauce_mixture_","Chicken_or_turkey_and_noodles_no_sauce_mixture","Chicken_or_turkey_and_noodles_no_sauce_mixture_WO_FAT","no"
27242310,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item;L4_Poultry_with_starch_item;L5_;Chicken_or_turkey_and_noodles_with_cheese_sauce_mixture_","Chicken_or_turkey_and_noodles_with_cheese_sauce_mixture","Chicken_or_turkey_and_noodles_with_cheese_sauce_mixture_W_VEGETABLE_OIL_NFS","no"
27243600,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item;L4_Poultry_with_starch_item;L5_;Chicken_or_turkey_and_rice_with_soy_based_sauce_mixture_","Chicken_or_turkey_and_rice_with_soy_based_sauce_mixture","Chicken_or_turkey_and_rice_with_soy_based_sauce_mixture_WO_FAT","no"
27246300,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item;L4_Poultry_with_starch_item;L5_;Chicken_or_turkey_cake_patty_or_croquette","Chicken_or_turkey_cake_patty_or_croquette","Chicken_or_turkey_cake_patty_or_croquette_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
27250070,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item;L4_Fish_shellfish_with_starch_item;L5_;Salmon_cake_or_patty","Salmon_cake_or_patty","Salmon_cake_or_patty_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
