"FoodID","taxonomy"
11114300,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid.L4_Milk_fluid_cow_goat_buttermilk.L5_.Milk_cows_fluid_lactose_reduced_1_fat"
11120000,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid.L4_Milk_dry_reconstituted.L5_.Milk_dry_reconstituted_NFS"
11121210,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid.L4_Milk_dry_reconstituted.L5_.Milk_dry_reconstituted_lowfat"
11210050,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid_evaporated_and_condensed.L4_Milk_evaporated.L5_.Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_"
11320100,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid_imitation.L4_Milk_soy.L5_.Milk_soy_light_ready_to_drink_not_babys"
11320200,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid_imitation.L4_Milk_soy.L5_.Milk_soy_nonfat_ready_to_drink_not_babys"
11321000,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid_imitation.L4_Milk_soy.L5_.Milk_soy_ready_to_drink_not_babys_chocolate"
11340000,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid_imitation.L4_Milk_imitation.L5_.Milk_imitation_fluid_non_soy_sweetened_flavors_other_than_chocolate"
11350010,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Milk_fluid_imitation.L4_Milk_almond.L5_.Milk_almond_ready_to_drink_chocolate"
11422100,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Yogurt.L4_Yogurt_vanilla.L5_.Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk_sweetened_with_low_calorie_sweetener"
11433500,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Yogurt.L4_Yogurt_fruit_variety.L5_.Yogurt_fruit_variety_nonfat_milk_sweetened_with_low_calorie_sweetener"
11460000,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Yogurt.L4_Yogurt_frozen_flavored.L5_.Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk"
11460170,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Yogurt.L4_Yogurt_frozen_flavored.L5_.Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk"
11460410,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Yogurt.L4_Yogurt_frozen_flavored.L5_.Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_low_calorie_sweetener"
11461270,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Yogurt.L4_Yogurt_frozen_flavored.L5_.Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk"
11511200,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat_"
11511300,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Milk_chocolate_skim_milk_based"
11511400,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Milk_chocolate_lowfat_milk_based"
11513100,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Cocoa_and_sugar_mixture_whole_milk_added"
11513150,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Cocoa_and_sugar_mixture_reduced_fat_milk_added"
11513200,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Cocoa_and_sugar_mixture_lowfat_milk_added"
11513300,"L1_Milk_and_Milk_Products.L2_Milks_and_milk_drinks.L3_Flavored_milk_and_milk_drinks_fluid.L4_Chololate_or_other_flavored.L5_.Cocoa_and_sugar_mixture_skim_milk_added"
