"FoodCode","Food_Description"
53544450,"PowerBar_fortified_high_energy_bar"
32104900,"Egg_omelet_or_scrambled_egg_NS_as_to_fat_added_in_cooking"
41435110,"High_protein_bar_candy_like_soy_and_milk_base"
14410200,"Cheese_processed_American_or_Cheddar_type"
31109010,"Egg_white_only_cooked_fat_not_added_in_cooking"
56204990,"Rice_white_cooked_regular_NS_as_to_fat_added_in_cooking"
58161110,"Rice_casserole_with_cheese"
58161300,"White_rice_with_tomato_sauce"
32105000,"Egg_omelet_or_scrambled_egg_fat_added_in_cooking_W_BUTTER_NFS"
58100130,"Burrito_with_beef_and_cheese_no_beans"
9,""
58101530,"Soft_taco_with_beef_cheese_lettuce_tomato_and_salsa"
58145115,"Macaroni_or_noodles_with_cheese_from_boxed_mix_with_already_prepared_cheese_sauce"
25210610,"Frankfurter_or_hot_dog_beef_lowfat"
71201010,"White_potato_chips"
14104010,"Cheese_natural_Cheddar_or_American_type"
83208000,"Vinegar_sugar_and_water_dressing"
56205110,"Rice_brown_cooked_regular_fat_not_added_in_cooking"
53542100,"Granola_bar_oats_sugar_raisins_coconut"
53209000,"Cookie_chocolate_chocolate_sandwich_or_chocolate_coated_or_striped"
58101230,"Flauta_with_beef"
51121040,"Bread_garlic_toasted"
32105130,"Egg_omelet_or_scrambled_egg_with_onions_peppers_tomatoes_and_mushrooms_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
32105085,"Egg_omelet_or_scrambled_egg_with_cheese_ham_or_bacon_and_tomatoes_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
41430000,"Protein_powder_NFS"
94000000,"Water_as_an_ingredient"
31109020,"Egg_white_only_cooked_fat_added_in_cooking"
58100210,"Burrito_with_chicken_and_beans"
25221410,"Pork_sausage_fresh_bulk_patty_or_link_cooked"
56205420,"Rice_white_cooked_regular_fat_added_in_cooking_W_BUTTER_NFS"
14010100,"Cheese_Cheddar_or_American_type_NS_as_to_natural_or_processed"
31105000,"Egg_whole_fried"
56205420,"Rice_white_cooked_regular_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
32104950,"Egg_omelet_or_scrambled_egg_fat_not_added_in_cooking"
32105030,"Egg_omelet_or_scrambled_egg_with_ham_or_bacon_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_"
56205010,"Rice_white_cooked_regular_fat_not_added_in_cooking"
53542200,"Granola_bar_oats_fruit_and_nuts_lowfat"
53540806,"Kashi_TLC_Crunchy_Granola_Bar"
25221920,"Vienna_sausage_chicken_canned"
26100230,"Fish_stick_patty_or_fillet_NS_as_to_type_breaded_or_battered_baked"
