FoodCode	Food_Description	FoodCode.jitter
32105010	Egg_omelet_or_scrambled_egg_with_cheese_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_	32105010
32105010	Egg_omelet_or_scrambled_egg_with_cheese_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	32105010
32105010	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_and_cheese	32105010.1
92101900	Coffee_Latte	92101900
92101900	Coffee_latte_W_1_MILK	92101900
92101900	Coffee_latte_W_2_MILK	92101900
92101900	Coffee_latte_W_SKIM_MILK	92101900
92101900	Coffee_latte_W_WHOLE_MILK	92101900
92101900	Coffee_latte	92101900
92101900	Coffee_latte_W_SOY_MILK	92101900.1
11100000	Milk_NFS	11100000
11100000	Milk_almond_readytodrink	11350000
