"combo","FoodCode.x","Food_Description","FoodCode.y","Food_Description.y","FoodCode.jitter","FoodCode"
"11100000_Milk_almond_readytodrink",11100000,"Milk_almond_readytodrink","11100000","Milk_almond_readytodrink","11350000","11350000"
"11100000_Milk_NFS",11100000,"Milk_NFS","11100000","Milk_NFS","11100000","11100000"
"11100000_Milk_NFS",11100000,"Milk_NFS","11100000","Milk_NFS","11100000","11100000"
"11111000_Milk_cows_fluid_whole",11111000,"Milk_cows_fluid_whole",NA,NA,NA,"11111000"
"11111000_Milk_cows_fluid_whole",11111000,"Milk_cows_fluid_whole",NA,NA,NA,"11111000"
"11112110_Milk_cows_fluid_2_fat",11112110,"Milk_cows_fluid_2_fat",NA,NA,NA,"11112110"
"11112110_Milk_cows_fluid_2_fat",11112110,"Milk_cows_fluid_2_fat",NA,NA,NA,"11112110"
"11112210_Milk_cows_fluid_1_fat",11112210,"Milk_cows_fluid_1_fat",NA,NA,NA,"11112210"
"11112210_Milk_cows_fluid_1_fat",11112210,"Milk_cows_fluid_1_fat",NA,NA,NA,"11112210"
"11113000_Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat",11113000,"Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat",NA,NA,NA,"11113000"
"11113000_Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat",11113000,"Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat",NA,NA,NA,"11113000"
"11114300_Milk_cows_fluid_lactose_reduced_1_fat",11114300,"Milk_cows_fluid_lactose_reduced_1_fat",NA,NA,NA,"11114300"
"11114330_Milk_cows_fluid_lactose_reduced_2_fat",11114330,"Milk_cows_fluid_lactose_reduced_2_fat",NA,NA,NA,"11114330"
"11114330_Milk_cows_fluid_lactose_reduced_2_fat",11114330,"Milk_cows_fluid_lactose_reduced_2_fat",NA,NA,NA,"11114330"
"11120000_Milk_dry_reconstituted_NFS",11120000,"Milk_dry_reconstituted_NFS",NA,NA,NA,"11120000"
"11121210_Milk_dry_reconstituted_lowfat",11121210,"Milk_dry_reconstituted_lowfat",NA,NA,NA,"11121210"
"11210050_Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted",11210050,"Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted",NA,NA,NA,"11210050"
"11220000_Milk_condensed_sweetened_formerly_NS_as_to_dilution",11220000,"Milk_condensed_sweetened_formerly_NS_as_to_dilution",NA,NA,NA,"11220000"
"11320000_Milk_soy_ready_to_drink_not_babys",11320000,"Milk_soy_ready_to_drink_not_babys",NA,NA,NA,"11320000"
"11320000_Milk_soy_readytodrink_not_babys",11320000,"Milk_soy_readytodrink_not_babys",NA,NA,NA,"11320000"
"11320100_Milk_soy_light_readytodrink_not_babys",11320100,"Milk_soy_light_readytodrink_not_babys",NA,NA,NA,"11320100"
"11320200_Milk_soy_nonfat_readytodrink_not_babys",11320200,"Milk_soy_nonfat_readytodrink_not_babys",NA,NA,NA,"11320200"
"11321000_Milk_soy_readytodrink_not_babys_chocolate",11321000,"Milk_soy_readytodrink_not_babys_chocolate",NA,NA,NA,"11321000"
"11340000_Milk_imitation_fluid_nonsoy_sweetened_flavors_other_than_chocolate",11340000,"Milk_imitation_fluid_nonsoy_sweetened_flavors_other_than_chocolate",NA,NA,NA,"11340000"
"11350000_Milk_almond_ready_to_drink",11350000,"Milk_almond_ready_to_drink",NA,NA,NA,"11350000"
"11350000_Milk_almond_readytodrink",11350000,"Milk_almond_readytodrink",NA,NA,NA,"11350000"
"11350010_Milk_almond_readytodrink_chocolate",11350010,"Milk_almond_readytodrink_chocolate",NA,NA,NA,"11350010"
"11410000_Yogurt_NS_as_to_type_of_milk_or_flavor",11410000,"Yogurt_NS_as_to_type_of_milk_or_flavor",NA,NA,NA,"11410000"
"11410000_Yogurt_NS_as_to_type_of_milk_or_flavor",11410000,"Yogurt_NS_as_to_type_of_milk_or_flavor",NA,NA,NA,"11410000"
"11411100_Yogurt_plain_whole_milk",11411100,"Yogurt_plain_whole_milk",NA,NA,NA,"11411100"
"11411100_Yogurt_plain_whole_milk",11411100,"Yogurt_plain_whole_milk",NA,NA,NA,"11411100"
"11411200_Yogurt_plain_lowfat_milk",11411200,"Yogurt_plain_lowfat_milk",NA,NA,NA,"11411200"
"11411200_Yogurt_plain_lowfat_milk",11411200,"Yogurt_plain_lowfat_milk",NA,NA,NA,"11411200"
"11411300_Yogurt_plain_nonfat_milk",11411300,"Yogurt_plain_nonfat_milk",NA,NA,NA,"11411300"
"11411300_Yogurt_plain_nonfat_milk",11411300,"Yogurt_plain_nonfat_milk",NA,NA,NA,"11411300"
"11421000_Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk",11421000,"Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk",NA,NA,NA,"11421000"
"11421000_Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk",11421000,"Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk",NA,NA,NA,"11421000"
"11422000_Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk",11422000,"Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk",NA,NA,NA,"11422000"
"11422000_Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk",11422000,"Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk",NA,NA,NA,"11422000"
"11422100_Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk_sweetened_with_low_calorie_sweetener",11422100,"Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk_sweetened_with_low_calorie_sweetener",NA,NA,NA,"11422100"
"11423000_Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk",11423000,"Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk",NA,NA,NA,"11423000"
"11423000_Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk",11423000,"Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk",NA,NA,NA,"11423000"
"11431000_Yogurt_fruit_variety_whole_milk",11431000,"Yogurt_fruit_variety_whole_milk",NA,NA,NA,"11431000"
"11431000_Yogurt_fruit_variety_whole_milk",11431000,"Yogurt_fruit_variety_whole_milk",NA,NA,NA,"11431000"
"11432000_Yogurt_fruit_variety_lowfat_milk",11432000,"Yogurt_fruit_variety_lowfat_milk",NA,NA,NA,"11432000"
"11432000_Yogurt_fruit_variety_lowfat_milk",11432000,"Yogurt_fruit_variety_lowfat_milk",NA,NA,NA,"11432000"
"11432500_Yogurt_fruit_variety_lowfat_milk_sweetened_with_low_calorie_sweetener",11432500,"Yogurt_fruit_variety_lowfat_milk_sweetened_with_low_calorie_sweetener",NA,NA,NA,"11432500"
"11432500_Yogurt_fruit_variety_lowfat_milk_sweetened_with_lowcalorie_sweetener",11432500,"Yogurt_fruit_variety_lowfat_milk_sweetened_with_lowcalorie_sweetener",NA,NA,NA,"11432500"
"11433000_Yogurt_fruit_variety_nonfat_milk",11433000,"Yogurt_fruit_variety_nonfat_milk",NA,NA,NA,"11433000"
"11433000_Yogurt_fruit_variety_nonfat_milk",11433000,"Yogurt_fruit_variety_nonfat_milk",NA,NA,NA,"11433000"
"11433500_Yogurt_fruit_variety_nonfat_milk_sweetened_with_lowcalorie_sweetener",11433500,"Yogurt_fruit_variety_nonfat_milk_sweetened_with_lowcalorie_sweetener",NA,NA,NA,"11433500"
"11460000_Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk",11460000,"Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk",NA,NA,NA,"11460000"
"11460160_Yogurt_frozen_chocolate_lowfat_milk",11460160,"Yogurt_frozen_chocolate_lowfat_milk",NA,NA,NA,"11460160"
"11460160_Yogurt_frozen_chocolate_lowfat_milk",11460160,"Yogurt_frozen_chocolate_lowfat_milk",NA,NA,NA,"11460160"
"11460170_Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk",11460170,"Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk",NA,NA,NA,"11460170"
"11460410_Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_lowcalorie_sweetener",11460410,"Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_lowcalorie_sweetener",NA,NA,NA,"11460410"
"11460440_Yogurt_frozen_flavors_other_than_chocolate_whole_milk",11460440,"Yogurt_frozen_flavors_other_than_chocolate_whole_milk",NA,NA,NA,"11460440"
"11460440_Yogurt_frozen_flavors_other_than_chocolate_whole_milk",11460440,"Yogurt_frozen_flavors_other_than_chocolate_whole_milk",NA,NA,NA,"11460440"
"11461270_Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk",11461270,"Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk",NA,NA,NA,"11461270"
"11511000_Milk_chocolate_NFS",11511000,"Milk_chocolate_NFS",NA,NA,NA,"11511000"
"11511000_Milk_chocolate_NFS",11511000,"Milk_chocolate_NFS",NA,NA,NA,"11511000"
"11511200_Milk_chocolate_reduced_fat_milkbased_2_formerly_lowfat_",11511200,"Milk_chocolate_reduced_fat_milkbased_2_formerly_lowfat_",NA,NA,NA,"11511200"
"11511300_Milk_chocolate_skim_milkbased",11511300,"Milk_chocolate_skim_milkbased",NA,NA,NA,"11511300"
"11511400_Milk_chocolate_lowfat_milkbased",11511400,"Milk_chocolate_lowfat_milkbased",NA,NA,NA,"11511400"
"11513000_Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk",11513000,"Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk",NA,NA,NA,"11513000"
"11513000_Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk",11513000,"Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk",NA,NA,NA,"11513000"
"11513100_Cocoa_and_sugar_mixture_whole_milk_added",11513100,"Cocoa_and_sugar_mixture_whole_milk_added",NA,NA,NA,"11513100"
"11513150_Cocoa_and_sugar_mixture_reduced_fat_milk_added",11513150,"Cocoa_and_sugar_mixture_reduced_fat_milk_added",NA,NA,NA,"11513150"
"11513200_Cocoa_and_sugar_mixture_lowfat_milk_added",11513200,"Cocoa_and_sugar_mixture_lowfat_milk_added",NA,NA,NA,"11513200"
"11513300_Cocoa_and_sugar_mixture_skim_milk_added",11513300,"Cocoa_and_sugar_mixture_skim_milk_added",NA,NA,NA,"11513300"
"11513700_Chocolate_syrup_skim_milk_added",11513700,"Chocolate_syrup_skim_milk_added",NA,NA,NA,"11513700"
"11514100_Cocoa_sugar_and_dry_milk_mixture_water_added",11514100,"Cocoa_sugar_and_dry_milk_mixture_water_added",NA,NA,NA,"11514100"
"11514300_Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added",11514300,"Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added",NA,NA,NA,"11514300"
"11516000_Cocoa_whey_and_low_calorie_sweetener_mixture_lowfat_milk_added",11516000,"Cocoa_whey_and_low_calorie_sweetener_mixture_lowfat_milk_added",NA,NA,NA,"11516000"
"11519105_Milk_flavors_other_than_chocolate_reduced_fat_milkbased",11519105,"Milk_flavors_other_than_chocolate_reduced_fat_milkbased",NA,NA,NA,"11519105"
"11531000_Eggnog_made_with_whole_milk",11531000,"Eggnog_made_with_whole_milk",NA,NA,NA,"11531000"
"11542100_Carryout_milk_shake_chocolate",11542100,"Carryout_milk_shake_chocolate",NA,NA,NA,"11542100"
"11542200_Carry_out_milk_shake_flavors_other_than_chocolate",11542200,"Carry_out_milk_shake_flavors_other_than_chocolate",NA,NA,NA,"11542200"
"11542200_Carryout_milk_shake_flavors_other_than_chocolate",11542200,"Carryout_milk_shake_flavors_other_than_chocolate",NA,NA,NA,"11542200"
"11553000_Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products",11553000,"Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products",NA,NA,NA,"11553000"
"11553000_Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products",11553000,"Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products",NA,NA,NA,"11553000"
"11553100_Fruit_smoothie_drink_NFS",11553100,"Fruit_smoothie_drink_NFS",NA,NA,NA,"11553100"
"11553100_Fruit_smoothie_drink_NFS",11553100,"Fruit_smoothie_drink_NFS",NA,NA,NA,"11553100"
"11560000_Chocolateflavored_drink_whey_and_milkbased",11560000,"Chocolateflavored_drink_whey_and_milkbased",NA,NA,NA,"11560000"
