FoodCode	Food_Description	L1	L2	L3	L4	L5	Note	Use2016
41430000	Protein_powder_NFS						Use_2016_FoodCode_95230030_Protein_powder_NFS	1
41430010	Protein_supplement_powdered						Use_2016_FoodCode_95230030_Protein_powder_NFS	1
41435500	Clif_Bar						Use_2016_FoodCode_53720200_Clif_Bar	1
41440010	Meal_replacement_or_supplement_liquid_soy_base_high_protein						Use_2016_FoodCode_95120010_Nutritional_drink_or_meal_replacement_high_protein_ready_to_drink_NFS	1
53540300	Fiber_One_Chewy_Bar						Use_2016_FoodCode_53710400_Fiber_One_Chewy_Bar	1
53540802	Kashi_TLC_Chewy_Granola_Bar						Use_2016_FoodCode_53710802_Kashi_TLC_Chwy_Granola_Bar	1
53540806	Kashi_TLC_Crunchy_Granola_Bar						Use_2016_FoodCode_53710806_Kashi_TLC_Crunchy_Granola_Bar	1
53544230	Granola_bar_oats_nuts_coated_with_non_chocolate_coating						Use_2016_FoodCode_53714230_Granola_bar_oats_nuts_coated_with_non_chocolate_coating	1
53544250	Granola_bar_coated_with_non_chocolate_coating						Use_2016_FoodCode_53714250_Granola_bar_coated_with_non_chocolate_coating	1
53544450	PowerBar_fortified_high_energy_bar						Use_2016_FoodCode_53720300_PowerBar	1
56204990	Rice_white_cooked_regular_NS_as_to_fat_added_in_cooking						Use_2016_FoodCode_56205330_Rice_white_and_wild_cooked_NS_as_to_fat_added_in_cooking	1
56205010	Rice_white_cooked_regular_fat_not_added_in_cooking						Use_2016_FoodCode_56205300_Rice_white_and_wild_cooked_fat_not_added_in_cooking	1
56205110	Rice_brown_cooked_regular_fat_not_added_in_cooking						Use_2016_FoodCode_56205310_Rice_brown_and_wild_cooked_fat_not_added_in_cooking	1
56205420	Rice_white_cooked_regular_fat_added_in_cooking						Use_2016_FoodCode_56205320_Rice_white_and_wild_cooked_fat_added_in_cooking	1
56205510	Rice_brown_cooked_regular_fat_added_in_cooking						Use_2016_FoodCode_56205340_Rice_brown_and_wild_cooked_fat_added_in_cooking	1
56205530	Rice_brown_cooked_instant_NS_as_to_fat_added_in_cooking						Use_2016_FoodCode_56205350_Rice_brown_and_wild_cooked_NS_as_to_fat_added_in_cooking	1
58100210	Burrito_with_chicken_and_beans	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Burrito_chilaquiles_or_enchilada	Use_2016_FoodCode_58100220_Burrito_with_chicken_and_beans	1
58100310	Burrito_with_beans_meatless	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread		Use_2016_FoodCode_58100320_Burrito_with_beans_meatless	1
58161300	White_rice_with_tomato_sauce	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Rice_with_vegetables_or_lentils	Use_2016_FoodCode_58160520_Rice_white_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking	1
58161310	Rice_brown_with_tomato_sauce	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Rice_with_vegetables_or_lentils	Use_2016_FoodCode_58161460_Rice_brown_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking	1
71201010	White_potato_chips	Vegetables	White_potatoes_and_Puerto_Rican_starchy_vegetables	White_potatoes_chips_and_sticks	White_potatoes_chips_and_sticks	White_potato_chips	Use_2016_FoodCode_71201015_White_potato_chips_regular_cut	1
83205000	Italian_dressing_low_calorie	Fats_Oils_and_Salad_Dressings	Salad_dressings	Light_salad_dressings			Use_2016_FoodCode_83205450_Italian_dressing_light	1
83205500	Italian_dressing_reduced_calorie_fat_free	Fats_Oils_and_Salad_Dressings	Salad_dressings	Light_salad_dressings			Use_2016_FoodCode_83300600_Italian_dressing_fat_free	1
92560100	Gatorade_Thirst_Quencher_sports_drink	Sugars_Sweets_and_Beverages	Formulated_nutrition_beverages_energy_drinks_sports_drinks_function		Sports_drinks		Use_2016_FoodCode_95320200_Gatorade_Thirst_Quencher_sports_drink	1
92650200	Monster_Energy_Drink	Sugars_Sweets_and_Beverages	Formulated_nutrition_beverages_energy_drinks_sports_drinks_function		Energy_drinks		Use_2016_FoodCode_95310400_Monster_Energy_Drink	1
