FoodCode	Food_Description	L1	L2	L3	L4	L5	Note	Use2016
9		Sugars_Sweets_and_Beverages	NA	NA	NA		remove	0
11830800	Instant_breakfast_powder_not_reconstituted	Milk_and_Milk_Products	Milk_and_milk_drinks	Milk_dry_and_powdered_mixtures_with			L4_and_5_empty	0
14010100	Cheese_Cheddar_or_American_type_NS_as_to_natural_or_processed	Milk_and_Milk_Products	Cheeses	Cheese_NS_as_to_type			L4_and_5_empty	0
14104010	Cheese_natural_Cheddar_or_American_type	Milk_and_Milk_Products	Cheeses	Natural_cheeses	Natural_cheeses	Cheddar_Colby_Feta_Fontina_Goat	done	0
14410200	Cheese_processed_American_or_Cheddar_type	Milk_and_Milk_Products	Cheeses	Processed_cheeses_and_cheese_spreads	Cheese_processed		done	0
14410300	Cheese_processed_American_or_Cheddar_type_lowfat	Milk_and_Milk_Products	Cheeses	Processed_cheeses_and_cheese_spreads	Cheese_processed		done	0
14410400	Cheese_processed_Swiss	Milk_and_Milk_Products	Cheeses	Processed_cheeses_and_cheese_spreads	Cheese_processed		done	0
14502040	Imitation_cheese_American_or_cheddar_type_low_cholesterol	Milk_and_Milk_Products	Cheeses	Imitation_cheeses	Imitation_cheeses		done	0
25210610	Frankfurter_or_hot_dog_beef_lowfat	Meat_Poultry_Fish_and_Mixtures	Organ_meats_sausages_and_lunchmeats	Frankfurters_sausages_lunchmeats_meat_spreads	Frankfurters		done	0
25221410	Pork_sausage_fresh_bulk_patty_or_link_cooked	Meat_Poultry_Fish_and_Mixtures	Organ_meats_sausages_and_lunchmeats	Frankfurters_sausages_lunchmeats_meat_spreads	Sausages		done	0
25221420	Pork_sausage_brown_and_serve_cooked	Meat_Poultry_Fish_and_Mixtures	Organ_meats_sausages_and_lunchmeats	Frankfurters_sausages_lunchmeats_meat_spreads	Sausages		done	0
25221920	Vienna_sausage_chicken_canned	Meat_Poultry_Fish_and_Mixtures	Organ_meats_sausages_and_lunchmeats	Frankfurters_sausages_lunchmeats_meat_spreads	Sausages		done	0
26100230	Fish_stick_patty_or_fillet_NS_as_to_type_breaded_or_battered_baked	Meat_Poultry_Fish_and_Mixtures	Fish_and_shellfish	Finfish	Finfish_NS	Fish_NS	done	0
28340530	Chicken_soup	Meat_Poultry_Fish_and_Mixtures	Frozen_and_shelfstable_plate_meals_soups_and_gravies	Soups_broths_extracts_from_meat_poultry_fish_base	Poultry_soups		done	0
31103000	Egg_whole_boiled	Eggs	Eggs	Chicken_eggs	Egg_whole_or_white		done	0
31104000	Egg_whole_poached	Eggs	Eggs	Chicken_eggs	Egg_whole_or_white		done	0
31105000	Egg_whole_fried	Eggs	Eggs	Chicken_eggs	Egg_whole_or_white		done	0
31109000	Egg_white_only_cooked_NS_as_to_fat_added_in_cooking	Eggs	Eggs	Chicken_eggs	Egg_whole_or_white		done	0
31109010	Egg_white_only_cooked_fat_not_added_in_cooking	Eggs	Eggs	Chicken_eggs	Egg_whole_or_white		done	0
31109020	Egg_white_only_cooked_fat_added_in_cooking	Eggs	Eggs	Chicken_eggs	Egg_whole_or_white		done	0
32104900	Egg_omelet_or_scrambled_egg_NS_as_to_fat_added_in_cooking	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32104950	Egg_omelet_or_scrambled_egg_fat_not_added_in_cooking	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105000	Egg_omelet_or_scrambled_egg_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105010	Egg_omelet_or_scrambled_egg_with_cheese_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105010	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_and_cheese	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105030	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105040	Egg_omelet_or_scrambled_egg_with_dark_green_vegetables	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105055	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105085	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_cheese_and_tomatoes	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105121	Egg_omelet_or_scrambled_egg_with_sausage_and_cheese	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
32105122	Egg_omelet_or_scrambled_egg_with_sausage_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
