FoodCode	Food_Description	L1	L2	L3	L4
53544450	PowerBar_fortified_high_energy_bar	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
32104900	Egg_omelet_or_scrambled_egg_NS_as_to_fat_added_in_cooking	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
41435110	High_protein_bar_candy_like_soy_and_milk_base	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soybean derived products (excluding milks)	NA
14410200	Cheese_processed_American_or_Cheddar_type	Milk and Milk Products	Cheeses	Processed cheeses and cheese spreads	NA
31109010	Egg_white_only_cooked_fat_not_added_in_cooking	Eggs	Eggs	Chicken eggs	NA
56204990	Rice_white_cooked_regular_NS_as_to_fat_added_in_cooking	Grain Product	Pastas, cooked cereals, rice	Cooked cereals, rice	NA
58161110	Rice_casserole_with_cheese	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
58100130	Burrito_with_beef_and_cheese_no_beans	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
9		Sugars, Sweets, and Beverages	NA	NA	NA
58101530	Soft_taco_with_beef_cheese_lettuce_tomato_and_salsa	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
58145115	Macaroni_or_noodles_with_cheese_from_boxed_mix_with_already_prepared_cheese_sauce	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
25210610	Frankfurter_or_hot_dog_beef_lowfat	Meat, Poultry, Fish, and Mixtures	Organ meats, sausages and lunchmeats	Frankfurters, sausages, lunchmeats, meat spreads	Frankfurters
71201010	White_potato_chips	Vegetables	White potatoes and Puerto Rican starchy vegetables	White potatoes, chips and sticks	NA
14104010	Cheese_natural_Cheddar_or_American_type	Milk and Milk Products	Cheeses	Natural cheeses	NA
83208000	Vinegar_sugar_and_water_dressing	Fats, Oils, and Salad Dressings	Salad dressings	Light salad dressings	NA
56205110	Rice_brown_cooked_regular_fat_not_added_in_cooking	Grain Product	Pastas, cooked cereals, rice	Cooked cereals, rice	NA
53542100	Granola_bar_oats_sugar_raisins_coconut	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
53209000	Cookie_chocolate_chocolate_sandwich_or_chocolate_coated_or_striped	Grain Product	Cakes, cookies, pies, pastries, bars	Cookies	NA
58101230	Flauta_with_beef	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
51121040	Bread_garlic_toasted	Grain Product	Yeast	White breads, rolls	NA
32105130	Egg_omelet_or_scrambled_egg_with_onions_peppers_tomatoes_and_mushrooms_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
41430000	Protein_powder_NFS	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soybean derived products (excluding milks)	NA
94000000	Water_as_an_ingredient	Sugars, Sweets, and Beverages	Water, noncarbonated	Water, not bottled	NA
31109020	Egg_white_only_cooked_fat_added_in_cooking	Eggs	Eggs	Chicken eggs	NA
58100210	Burrito_with_chicken_and_beans	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
25221410	Pork_sausage_fresh_bulk_patty_or_link_cooked	Meat, Poultry, Fish, and Mixtures	Organ meats, sausages and lunchmeats	Frankfurters, sausages, lunchmeats, meat spreads	Sausages
14010100	Cheese_Cheddar_or_American_type_NS_as_to_natural_or_processed	Milk and Milk Products	Cheeses	Cheese, NS as to type	NA
32104950	Egg_omelet_or_scrambled_egg_fat_not_added_in_cooking	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
32105030	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
56205010	Rice_white_cooked_regular_fat_not_added_in_cooking	Grain Product	Pastas, cooked cereals, rice	Cooked cereals, rice	NA
53542200	Granola_bar_oats_fruit_and_nuts_lowfat	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
53540806	Kashi_TLC_Crunchy_Granola_Bar	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
25221920	Vienna_sausage_chicken_canned	Meat, Poultry, Fish, and Mixtures	Organ meats, sausages and lunchmeats	Frankfurters, sausages, lunchmeats, meat spreads	Sausages
26100230	Fish_stick_patty_or_fillet_NS_as_to_type_breaded_or_battered_baked	Meat, Poultry, Fish, and Mixtures	Fish and shellfish	Finfish	NA
31104000	Egg_whole_poached	Eggs	Eggs	Chicken eggs	NA
31103000	Egg_whole_boiled	Eggs	Eggs	Chicken eggs	NA
53243100	Cookie_rich_all_chocolate_with_chocolate_filling_or_chocolate_chips	Grain Product	Cakes, cookies, pies, pastries, bars	Cookies	NA
53120260	Cake_white_with_icing_made_from_home_recipe_or_purchased_ready_to_eat	Grain Product	Cakes, cookies, pies, pastries, bars	Cakes	NA
53105260	Cake_chocolate_devils_food_or_fudge_with_icing_coating_or_filling_made_from_home_recipe_or_purchased_ready_to_eat	Grain Product	Cakes, cookies, pies, pastries, bars	Cakes	NA
57124500	Cinnamon_Grahams_General_Mills	Grain Product	Cereals, not cooked or NS as to cooked	Ready-to-eat cereals	NA
41601170	Bean_and_rice_soup	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soups with legumes as major ingredient	NA
74403010	Tomato_sauce	Vegetables	Tomatoes and tomato mixtures	Tomato sauces	NA
41430010	Protein_supplement_powdered	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soybean derived products (excluding milks)	NA
32105040	Egg_omelet_or_scrambled_egg_with_dark_green_vegetables	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
41440010	Meal_replacement_or_supplement_liquid_soy_base_high_protein	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soybean derived products (excluding milks)	NA
92560100	Gatorade_Thirst_Quencher_sports_drink	Sugars, Sweets, and Beverages	Nonalcoholic beverages	Fruit drinks	NA
