FoodCode	Food_Description	L1	L2	L3	L4	L5	Note	Use2016
9		"Sugars, Sweets, and Beverages"	NA	NA	NA		remove	0
11830800	Instant_breakfast_powder_not_reconstituted	Milk and Milk Products	Milk and milk drinks	"Milk, dry, and powdered mixtures with"			L4 and 5 empty	0
14010100	Cheese_Cheddar_or_American_type_NS_as_to_natural_or_processed	Milk and Milk Products	Cheeses	"Cheese, NS as to type"			L4 and 5 empty	0
14104010	Cheese_natural_Cheddar_or_American_type	Milk and Milk Products	Cheeses	Natural cheeses	Natural cheeses	Cheddar_Colby_Feta_Fontina_Goat	done	0
14410200	Cheese_processed_American_or_Cheddar_type	Milk and Milk Products	Cheeses	Processed cheeses and cheese spreads	Cheese_processed		done	0
14410300	Cheese_processed_American_or_Cheddar_type_lowfat	Milk and Milk Products	Cheeses	Processed cheeses and cheese spreads	Cheese_processed		done	0
14410400	Cheese_processed_Swiss	Milk and Milk Products	Cheeses	Processed cheeses and cheese spreads	Cheese_processed		done	0
14502040	Imitation_cheese_American_or_cheddar_type_low_cholesterol	Milk and Milk Products	Cheeses	Imitation cheeses	Imitation cheeses		done	0
25210610	Frankfurter_or_hot_dog_beef_lowfat	"Meat, Poultry, Fish, and Mixtures"	"Organ meats, sausages and lunchmeats"	"Frankfurters, sausages, lunchmeats, meat spreads"	Frankfurters		done	0
25221410	Pork_sausage_fresh_bulk_patty_or_link_cooked	"Meat, Poultry, Fish, and Mixtures"	"Organ meats, sausages and lunchmeats"	"Frankfurters, sausages, lunchmeats, meat spreads"	Sausages		done	0
25221420	Pork_sausage_brown_and_serve_cooked	"Meat, Poultry, Fish, and Mixtures"	"Organ meats, sausages and lunchmeats"	"Frankfurters, sausages, lunchmeats, meat spreads"	Sausages		done	0
25221920	Vienna_sausage_chicken_canned	"Meat, Poultry, Fish, and Mixtures"	"Organ meats, sausages and lunchmeats"	"Frankfurters, sausages, lunchmeats, meat spreads"	Sausages		done	0
26100230	Fish_stick_patty_or_fillet_NS_as_to_type_breaded_or_battered_baked	"Meat, Poultry, Fish, and Mixtures"	Fish and shellfish	Finfish	Finfish_NS	Fish_NS	done	0
28340530	Chicken_soup	"Meat, Poultry, Fish, and Mixtures"	"Frozen and shelf-stable plate meals, soups, and gravies"	"Soups, broths, extracts from meat, poultry, fish base"	"Poultry, soups"		done	0
31103000	Egg_whole_boiled	Eggs	Eggs	Chicken eggs	Egg_whole_or_white		done	0
31104000	Egg_whole_poached	Eggs	Eggs	Chicken eggs	Egg_whole_or_white		done	0
31105000	Egg_whole_fried	Eggs	Eggs	Chicken eggs	Egg_whole_or_white		done	0
31109000	Egg_white_only_cooked_NS_as_to_fat_added_in_cooking	Eggs	Eggs	Chicken eggs	Egg_whole_or_white		done	0
31109010	Egg_white_only_cooked_fat_not_added_in_cooking	Eggs	Eggs	Chicken eggs	Egg_whole_or_white		done	0
31109020	Egg_white_only_cooked_fat_added_in_cooking	Eggs	Eggs	Chicken eggs	Egg_whole_or_white		done	0
32104900	Egg_omelet_or_scrambled_egg_NS_as_to_fat_added_in_cooking	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32104950	Egg_omelet_or_scrambled_egg_fat_not_added_in_cooking	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105000	Egg_omelet_or_scrambled_egg_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105010	Egg_omelet_or_scrambled_egg_with_cheese_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105010	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_and_cheese	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105030	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105040	Egg_omelet_or_scrambled_egg_with_dark_green_vegetables	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105055	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105085	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_cheese_and_tomatoes	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105121	Egg_omelet_or_scrambled_egg_with_sausage_and_cheese	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105122	Egg_omelet_or_scrambled_egg_with_sausage_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
32105130	Egg_omelet_or_scrambled_egg_with_onions_peppers_tomatoes_and_mushrooms_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	Egg_omelet_or_scrambled		done	0
