FoodID	taxonomy	Main.food.description
11100000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;L5_;Milk_NFS	Milk NFS
11111000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_whole	Milk cows fluid whole
11112110	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_2_fat	Milk cows fluid 2 fat
11112210	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_1_fat	Milk cows fluid 1 fat
11113000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk cows fluid skim or nonfat 0 5 or less butterfat
11114300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_lactose_reduced_1_fat	Milk cows fluid lactose reduced 1 fat
11114330	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;L5_;Milk_cows_fluid_lactose_reduced_2_fat	Milk cows fluid lactose reduced 2 fat
11120000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_dry_reconstituted;L5_;Milk_dry_reconstituted_NFS	Milk dry reconstituted NFS
11121210	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_dry_reconstituted;L5_;Milk_dry_reconstituted_lowfat	Milk dry reconstituted lowfat
11210050	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_Milk_evaporated;L5_;Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted	Milk evaporated NS as to fat content formerly NS as to dilution used in coffee or tea assume undiluted
11220000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;L4_Milk_condensed;L5_;Milk_condensed_sweetened_formerly_NS_as_to_dilution	Milk condensed sweetened formerly NS as to dilution
11320000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;L5_;Milk_soy_ready_to_drink_not_babys	Milk soy ready to drink not babys
11320100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;L5_;Milk_soy_light_readytodrink_not_babys	Milk soy light readytodrink not babys
11320200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;L5_;Milk_soy_nonfat_readytodrink_not_babys	Milk soy nonfat readytodrink not babys
11321000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;L5_;Milk_soy_readytodrink_not_babys_chocolate	Milk soy readytodrink not babys chocolate
11340000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_imitation;L5_;Milk_imitation_fluid_nonsoy_sweetened_flavors_other_than_chocolate	Milk imitation fluid nonsoy sweetened flavors other than chocolate
11350000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_almond;L5_;Milk_almond_readytodrink	Milk almond readytodrink
11350010	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_almond;L5_;Milk_almond_readytodrink_chocolate	Milk almond readytodrink chocolate
11410000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;L5_;Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt NS as to type of milk or flavor
11411100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;L5_;Yogurt_plain_whole_milk	Yogurt plain whole milk
11411200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;L5_;Yogurt_plain_lowfat_milk	Yogurt plain lowfat milk
11411300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;L5_;Yogurt_plain_nonfat_milk	Yogurt plain nonfat milk
